,attraction,land,park,day,is_open_M,is_open_A,is_open_E,wait_time_M,wait_time_A,wait_time_E
0,Festival of the Lion King,Africa,Animal Kingdom,Friday,True,True,True,0.0,0.0,0.0
1,Festival of the Lion King,Africa,Animal Kingdom,Saturday,True,True,True,0.0,0.0,0.0
2,Gorilla Falls Exploration Trail,Africa,Animal Kingdom,Friday,True,True,False,0.0,0.0,0.0
3,Gorilla Falls Exploration Trail,Africa,Animal Kingdom,Saturday,True,True,False,0.0,0.0,0.0
4,Kilimanjaro Safaris,Africa,Animal Kingdom,Friday,True,True,False,65.0,30.0,0.0
5,Kilimanjaro Safaris,Africa,Animal Kingdom,Saturday,True,True,False,70.0,45.0,0.0
6,Wildlife Express Train,Africa,Animal Kingdom,Friday,True,True,False,0.0,0.0,0.0
7,Wildlife Express Train,Africa,Animal Kingdom,Saturday,True,True,False,0.0,0.0,0.0
8,Expedition Everest - Legend of the Forbidden Mountain,Asia,Animal Kingdom,Friday,False,True,True,0.0,50.0,25.0
9,Expedition Everest - Legend of the Forbidden Mountain,Asia,Animal Kingdom,Saturday,True,True,True,75.0,65.0,35.0
10,Feathered Friends in Flight!,Asia,Animal Kingdom,Friday,True,True,True,0.0,0.0,0.0
11,Feathered Friends in Flight!,Asia,Animal Kingdom,Saturday,True,True,True,0.0,0.0,0.0
12,Kali River Rapids,Asia,Animal Kingdom,Friday,True,True,True,10.0,10.0,5.0
13,Kali River Rapids,Asia,Animal Kingdom,Saturday,True,True,True,5.0,5.0,5.0
14,DINOSAUR,Dinoland U.S.A,Animal Kingdom,Friday,True,True,True,35.0,30.0,15.0
15,DINOSAUR,Dinoland U.S.A,Animal Kingdom,Saturday,True,True,True,65.0,40.0,25.0
16,Finding Nemo: The Big Blue... and Beyond!,Dinoland U.S.A,Animal Kingdom,Friday,True,True,True,0.0,0.0,0.0
17,Finding Nemo: The Big Blue... and Beyond!,Dinoland U.S.A,Animal Kingdom,Saturday,True,True,True,0.0,0.0,0.0
18,The Boneyard,Dinoland U.S.A,Animal Kingdom,Friday,True,True,True,0.0,0.0,0.0
19,The Boneyard,Dinoland U.S.A,Animal Kingdom,Saturday,True,True,True,0.0,0.0,0.0
20,TriceraTop Spin,Dinoland U.S.A,Animal Kingdom,Friday,True,True,True,10.0,5.0,5.0
21,TriceraTop Spin,Dinoland U.S.A,Animal Kingdom,Saturday,True,True,True,15.0,10.0,10.0
22,It's Tough to be a Bug!,Discovery Island,Animal Kingdom,Friday,True,False,True,10.0,0.0,10.0
23,It's Tough to be a Bug!,Discovery Island,Animal Kingdom,Saturday,True,True,True,10.0,10.0,10.0
24,Meet Favorite Disney Pals at Adventurers Outpost,Discovery Island,Animal Kingdom,Friday,True,True,False,45.0,30.0,0.0
25,Meet Favorite Disney Pals at Adventurers Outpost,Discovery Island,Animal Kingdom,Saturday,True,True,False,35.0,45.0,0.0
26,Avatar Flight of Passage,Pandora - The World of Avatar,Animal Kingdom,Friday,True,True,True,70.0,60.0,70.0
27,Avatar Flight of Passage,Pandora - The World of Avatar,Animal Kingdom,Saturday,True,True,True,110.0,75.0,105.0
28,Na'vi River Journey,Pandora - The World of Avatar,Animal Kingdom,Friday,True,True,True,120.0,65.0,55.0
29,Na'vi River Journey,Pandora - The World of Avatar,Animal Kingdom,Saturday,True,True,True,50.0,80.0,70.0
30,The Animation Experience at Conservation Station,Rafiki's Planet Watch,Animal Kingdom,Friday,True,True,True,0.0,0.0,0.0
31,The Animation Experience at Conservation Station,Rafiki's Planet Watch,Animal Kingdom,Saturday,True,True,True,0.0,0.0,0.0
32,Guardians of the Galaxy - Mission: BREAKOUT!,Avengers Campus,California Adventure,Friday,True,True,True,45.0,35.0,45.0
33,Guardians of the Galaxy - Mission: BREAKOUT!,Avengers Campus,California Adventure,Saturday,True,True,True,15.0,40.0,50.0
34,WEB SLINGERS: A Spider-Man Adventure,Avengers Campus,California Adventure,Friday,True,True,True,10.0,15.0,35.0
